iter	Passed	Remaining
421	1853	2538
422	1855	2530
423	1857	2522
424	1859	2516
425	1861	2508
426	1863	2500
427	1867	2495
428	1869	2488
429	1871	2480
430	1875	2475
431	1877	2468
432	1879	2461
433	1882	2455
434	1885	2448
435	1887	2441
436	1890	2435
437	1892	2427
438	1894	2420
439	1896	2413
440	1898	2406
441	1900	2399
442	1903	2393
443	1906	2386
444	1908	2379
445	1910	2373
446	1912	2366
447	1915	2359
448	1917	2352
449	1919	2345
450	1921	2338
451	1923	2331
452	1925	2324
453	1927	2317
454	1929	2310
455	1931	2304
456	1933	2297
457	1935	2290
458	1937	2283
459	1939	2276
460	1941	2270
461	1943	2263
462	1945	2256
463	1947	2249
464	1949	2242
465	1951	2236
466	1953	2229
467	1955	2222
468	1956	2215
469	1959	2209
470	1962	2204
471	1965	2198
472	1967	2191
473	1969	2185
474	1971	2178
475	1973	2172
476	1974	2165
477	1976	2158
478	1979	2152
479	1981	2146
480	1983	2140
481	1986	2134
482	1988	2128
483	1990	2122
484	1992	2116
485	1994	2109
486	1996	2103
487	1998	2097
488	2001	2091
489	2003	2084
490	2004	2078
491	2007	2072
492	2009	2066
493	2011	2060
494	2014	2054
495	2016	2048
496	2018	2042
497	2020	2036
498	2022	2030
499	2024	2024
500	2027	2018
501	2029	2013
502	2031	2007
503	2033	2001
504	2035	1995
505	2038	1989
506	2040	1984
507	2042	1978
508	2045	1972
509	2048	1967
510	2050	1962
511	2052	1956
512	2055	1951
513	2057	1945
514	2059	1939
515	2062	1934
516	2064	1928
517	2066	1922
518	2068	1917
519	2070	1911
520	2073	1906
521	2075	1900
522	2077	1894
523	2079	1889
524	2082	1883
525	2083	1877
526	2085	1872
527	2088	1866
528	2090	1861
529	2092	1855
530	2094	1849
531	2096	1844
532	2098	1838
533	2100	1833
534	2103	1828
535	2105	1822
536	2107	1817
537	2109	1811
538	2111	1806
539	2113	1800
540	2115	1795
541	2118	1789
542	2120	1784
543	2122	1779
544	2124	1773
545	2126	1768
546	2128	1763
547	2131	1757
548	2133	1752
549	2135	1746
550	2137	1741
551	2139	1736
552	2142	1731
553	2143	1725
554	2146	1720
555	2148	1715
